Model,R_V4,R_IT,R_V1,R_V2
AlexNet,0.300427264,0.372388916,0.369396448,0.316269219
beit_base_patch16_224.in22k_ft_in22k_in1k,0.307246476,0.251354218,0.223485753,0.23550211
coat_lite_mini,0.298162669,0.391051829,0.34074804,0.30858928
convit_small,0.308815895,0.390878467,0.344489295,0.316475376
convnext_base.fb_in22k_ft_in1k,0.363426447,0.331397623,0.322576493,
cornet_rt,0.28040576,0.367042392,0.356286228,0.30747959
cornet_s,0.318746477,0.373999476,0.434792459,0.398388058
cornet_z,0.29397586,0.342138141,0.357948065,0.331324875
deit_base_patch16_224,0.293066353,0.375452757,0.358527899,0.315465689
Densenet121,0.300710827,0.36552754,0.39167887,0.353484392
Densenet161,0.29580915,0.362213224,0.383792192,0.349654138
Densenet169,0.308838516,0.356482953,0.383145928,0.358395994
Densenet201,0.303823718,0.357542813,0.383923888,0.357443124
dm_nfnet_f0,0.296709776,0.183231264,0.404725969,0.38067928
efficientnet_b0,0.311946988,0.326812208,0.412464917,0.392027915
efficientnet_b1,0.311464518,0.318963349,0.412119567,0.389771551
efficientnet_b2,0.308092147,0.313743144,0.400415063,0.37813136
efficientnet_b3,0.298941702,0.31572336,0.402190462,0.378194809
efficientnet_b3.ra2_in1k,0.33765787,0.30509937,0.25886917,0.321509421
efficientnet_b4,0.308317836,0.323063715,0.398623437,0.373963833
efficientnet_b5,0.300868839,0.324273109,0.401519001,0.373435527
gluon_resnet50_v1c,0.296358138,0.202353761,0.389180422,0.3735677
gluon_resnext101_64x4d,0.304237604,0.216639161,0.403790414,0.373924464
gmlp_s16_224.ra3_in1k,0.353646547,0.334057897,0.322310567,0.395190686
GoogleNet,0.311468631,0.357315898,0.393677622,0.381696433
inception_resnet_v2,0.300722778,0.253008217,0.416815847,0.377985597
inception_v3,0.299258828,0.233643726,0.394900799,0.376577437
mixer_b16_224,0.314212024,0.369020283,0.397419363,0.362210423
mnasnet05,0.306866676,0.336930722,0.405448586,0.366145819
mnasnet10,0.308556318,0.365544975,0.403170049,0.381139189
mobilenet_v2,0.315195858,0.352185607,0.403852671,0.38159889
mobilenet_v3_large,0.311198145,0.3563568,0.423176408,0.386603624
mobilenet_v3_small,0.306162855,0.367191687,0.387109593,0.374504663
nfnet_l0,0.301609457,0.193817154,0.417801887,0.387928486
regnety_032,0.303839892,0.189183578,0.411192656,0.375635773
regnety_080,0.302391529,0.217041194,0.427668929,0.392085522
ResNet101,0.325493609,0.366802863,0.422269583,0.382599324
ResNet152,0.32326597,0.371271074,0.407205194,0.383240044
ResNet18,0.310780078,0.364233851,0.408350527,0.378676891
ResNet34,0.320378184,0.367124081,0.407153457,0.380846709
ResNet50,0.326005846,0.368864328,0.398060888,0.378527194
resnext101_32x8d,0.312010258,0.203445092,0.41682297,0.389242858
resnext50_32x4d,0.290130764,0.189769849,0.390794218,0.368671477
seresnet50,0.286437005,0.215763867,0.391734451,0.361696213
ShuffleNetV2x05,0.29758714,0.337797698,0.372926891,0.346301138
ShuffleNetV2x10,0.304263741,0.329590857,0.408929259,0.366147906
Squeezenet1_0,0.315261722,0.159227505,0.405815035,0.374359787
Squeezenet1_1,0.316845818,0.18469173,0.418417573,0.39387235
swin_base_patch4_window7_224,0.30701685,0.400743484,0.337970644,0.299904644
tf_efficientnet_b2_ns,0.301654786,0.199293137,0.403915226,0.383823812
tf_efficientnet_b4_ns,0.297912717,0.193272561,0.405681401,0.37865603
VGG11,0.318402051,0.37420286,0.415381968,0.386281461
VGG11_bn,0.308912373,0.379284104,0.393561363,0.373382181
VGG13,0.320558851,0.377442971,0.41832763,0.392200947
VGG13_bn,0.304663688,0.383213252,0.381982863,0.368498027
VGG16,0.316284984,0.386014223,0.412542224,0.385983199
VGG16_bn,0.302904806,0.37788489,0.386681169,0.369344175
VGG19,0.307809106,0.381414675,0.403416991,0.379413724
VGG19_bn,0.306060388,0.37882887,0.389188439,0.36582163
vit_base_patch16_224,0.295453727,0.376510352,0.342115968,0.311275423
vit_large_patch16_224,0.310259402,0.380057693,0.354744494,0.329301029
wide_resnet50_2,0.288877666,0.212989777,0.384761631,0.366337359
xception,0.29283082,0.18969777,0.451032758,0.38666603
